assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,2001,-59.97583333,5.38472222
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1985,-79.5,9.25
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-69.9444,-7.3789
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-75.4853,7.4947
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,"CUVC, MO",PreservedSpecimen,1984,-77.0,3.91666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-78.8247,0.6078
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.5703,-0.0517
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-75.53,-3.9925
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-63.6194,-8.1378
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2015,-79.70255,9.12473
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1968,-64.79806,-7.25861
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,1970,-61.8,5.63
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,traits,,0,-79.74639893,9.16829968
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2009,-79.9747,9.28087
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-73.1617,6.5219
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto Amazónico de Investigaciones Científicas SINCHI,PreservedSpecimen,1998,-67.85,3.53333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1997,-78.367,-5.25
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1992,-52.7,4.05
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-67.1942,2.2181
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,F,PreservedSpecimen,1931,-79.83,9.15
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,traits,,0,-77.079,3.978
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,1998,-79.5265,9.39658
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-54.1464,-1.9308
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,F,PreservedSpecimen,0,-52.8731,-10.8339
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto Amazónico de Investigaciones Científicas SINCHI,PreservedSpecimen,1989,-72.40056,-0.59138
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1965,-79.79166,9.21111
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1986,-77.13333,3.93333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-79.7808,0.2872
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.5764,0.2372
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Universidad de Antioquia,PreservedSpecimen,1994,-75.31173,7.44327
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-61.6719,-5.3644
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MNHN,PreservedSpecimen,1990,-52.7,4.05
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-74.3911,-3.5686
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Museo Nacional de Costa Rica (MNCR),PreservedSpecimen,1996,-82.65,9.63
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-67.5292,2.7986
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.5772,6.6958
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-61.7447,5.7061
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,2011,-80.056,8.86259
